bus2,bus3,bus4,1,2
0.792729978,0.831093782,0.871297342,0.792729978,0.831093782
0.723201574,0.689863228,0.670489749,0.723201574,0.689863228
0.710952098,0.666058513,0.642812243,0.710952098,0.666058513
0.677672816,0.627033103,0.630092987,0.677672816,0.627033103
0.668249175,0.624901388,0.652991383,0.668249175,0.624901388
0.67166919,0.62858924,0.671971681,0.67166919,0.62858924
0.687608809,0.650734211,0.716278493,0.687608809,0.650734211
0.711821241,0.683424321,0.770885833,0.711821241,0.683424321
0.756320618,0.750876413,0.810075243,0.756320618,0.750876413
0.7984057,0.828347191,0.85562361,0.7984057,0.828347191
0.827836527,0.884248576,0.892440566,0.827836527,0.884248576
0.840362459,0.888523615,0.910660449,0.840362459,0.888523615
0.84511032,0.87752169,0.922135467,0.84511032,0.87752169
0.834592803,0.847534405,0.898416969,0.834592803,0.847534405
0.822949221,0.8227661,0.879816542,0.822949221,0.8227661
0.816941743,0.803809323,0.896390855,0.816941743,0.803809323
0.824079963,0.813282799,0.978598576,0.824079963,0.813282799
0.905735139,0.907575962,0.96523761,0.905735139,0.907575962
0.989967048,0.98679848,1.0,0.989967048,0.98679848
1.0,1.0,0.969626503,1.0,1.0
0.991227765,0.990489904,0.901212601,0.991227765,0.990489904
0.960842114,0.952520972,0.81894251,0.960842114,0.952520972
0.921465115,0.906611479,0.771004923,0.921465115,0.906611479
0.837001437,0.824307054,0.717847996,0.837001437,0.824307054
