DateTime,values,bus2,bus3,bus4
2020-01-01T00:00:00.0,662.9080833333314,662.9080833333314,662.9080833333314,662.9080833333314
2020-01-01T01:00:00.0,608.0324624999984,608.0324624999984,608.0324624999984,608.0324624999984
2020-01-01T02:00:00.0,568.5520749999985,568.5520749999985,568.5520749999985,568.5520749999985
2020-01-01T03:00:00.0,544.7593499999995,544.7593499999995,544.7593499999995,544.7593499999995
2020-01-01T04:00:00.0,540.7220333333323,540.7220333333323,540.7220333333323,540.7220333333323
2020-01-01T05:00:00.0,555.8934458333327,555.8934458333327,555.8934458333327,555.8934458333327
2020-01-01T06:00:00.0,622.414912499999,622.414912499999,622.414912499999,622.414912499999
2020-01-01T07:00:00.0,739.8112041666645,739.8112041666645,739.8112041666645,739.8112041666645
2020-01-01T08:00:00.0,859.6864833333308,859.6864833333308,859.6864833333308,859.6864833333308
2020-01-01T09:00:00.0,910.8523458333306,910.8523458333306,910.8523458333306,910.8523458333306
2020-01-01T10:00:00.0,934.2340374999968,934.2340374999968,934.2340374999968,934.2340374999968
2020-01-01T11:00:00.0,948.246687499996,948.246687499996,948.246687499996,948.246687499996
2020-01-01T12:00:00.0,960.263366666663,960.263366666663,960.263366666663,960.263366666663
2020-01-01T13:00:00.0,936.5390291666637,936.5390291666637,936.5390291666637,936.5390291666637
2020-01-01T14:00:00.0,913.3817208333307,913.3817208333307,913.3817208333307,913.3817208333307
2020-01-01T15:00:00.0,898.3828374999962,898.3828374999962,898.3828374999962,898.3828374999962
2020-01-01T16:00:00.0,894.8726749999964,894.8726749999964,894.8726749999964,894.8726749999964
2020-01-01T17:00:00.0,924.8438583333292,924.8438583333292,924.8438583333292,924.8438583333292
2020-01-01T18:00:00.0,992.9207458333293,992.9207458333293,992.9207458333293,992.9207458333293
2020-01-01T19:00:00.0,985.6235999999966,985.6235999999966,985.6235999999966,985.6235999999966
2020-01-01T20:00:00.0,920.8385041666625,920.8385041666625,920.8385041666625,920.8385041666625
2020-01-01T21:00:00.0,852.1035499999963,852.1035499999963,852.1035499999963,852.1035499999963
2020-01-01T22:00:00.0,774.9484208333308,774.9484208333308,774.9484208333308,774.9484208333308
2020-01-01T23:00:00.0,711.5767458333302,711.5767458333302,711.5767458333302,711.5767458333302
2020-01-02T00:00:00.0,686.0415749999977,686.0415749999977,686.0415749999977,686.0415749999977
2020-01-02T01:00:00.0,638.9302999999979,638.9302999999979,638.9302999999979,638.9302999999979
2020-01-02T02:00:00.0,588.197604166665,588.197604166665,588.197604166665,588.197604166665
2020-01-02T03:00:00.0,559.658162499998,559.658162499998,559.658162499998,559.658162499998
2020-01-02T04:00:00.0,549.5304874999988,549.5304874999988,549.5304874999988,549.5304874999988
2020-01-02T05:00:00.0,548.2753999999981,548.2753999999981,548.2753999999981,548.2753999999981
2020-01-02T06:00:00.0,569.6973083333328,569.6973083333328,569.6973083333328,569.6973083333328
2020-01-02T07:00:00.0,622.4752583333315,622.4752583333315,622.4752583333315,622.4752583333315
2020-01-02T08:00:00.0,687.0876708333305,687.0876708333305,687.0876708333305,687.0876708333305
2020-01-02T09:00:00.0,750.6537458333306,750.6537458333306,750.6537458333306,750.6537458333306
2020-01-02T10:00:00.0,800.9356083333307,800.9356083333307,800.9356083333307,800.9356083333307
2020-01-02T11:00:00.0,819.1833958333303,819.1833958333303,819.1833958333303,819.1833958333303
2020-01-02T12:00:00.0,828.0428958333304,828.0428958333304,828.0428958333304,828.0428958333304
2020-01-02T13:00:00.0,809.5131874999969,809.5131874999969,809.5131874999969,809.5131874999969
2020-01-02T14:00:00.0,784.8004541666636,784.8004541666636,784.8004541666636,784.8004541666636
2020-01-02T15:00:00.0,773.6593874999971,773.6593874999971,773.6593874999971,773.6593874999971
2020-01-02T16:00:00.0,785.6447208333302,785.6447208333302,785.6447208333302,785.6447208333302
2020-01-02T17:00:00.0,843.9231208333301,843.9231208333301,843.9231208333301,843.9231208333301
2020-01-02T18:00:00.0,945.8939666666632,945.8939666666632,945.8939666666632,945.8939666666632
2020-01-02T19:00:00.0,935.899487499996,935.899487499996,935.899487499996,935.899487499996
2020-01-02T20:00:00.0,862.1639791666639,862.1639791666639,862.1639791666639,862.1639791666639
2020-01-02T21:00:00.0,801.3132916666638,801.3132916666638,801.3132916666638,801.3132916666638
2020-01-02T22:00:00.0,741.5825624999967,741.5825624999967,741.5825624999967,741.5825624999967
2020-01-02T23:00:00.0,685.9082541666645,685.9082541666645,685.9082541666645,685.9082541666645
2020-01-03T00:00:00.0,675.9729999999978,675.9729999999978,675.9729999999978,675.9729999999978
2020-01-03T01:00:00.0,628.2592458333311,628.2592458333311,628.2592458333311,628.2592458333311
2020-01-03T02:00:00.0,578.0318166666647,578.0318166666647,578.0318166666647,578.0318166666647
2020-01-03T03:00:00.0,544.991304166666,544.991304166666,544.991304166666,544.991304166666
2020-01-03T04:00:00.0,528.2626749999988,528.2626749999988,528.2626749999988,528.2626749999988
2020-01-03T05:00:00.0,519.7823624999988,519.7823624999988,519.7823624999988,519.7823624999988
2020-01-03T06:00:00.0,517.8558083333327,517.8558083333327,517.8558083333327,517.8558083333327
2020-01-03T07:00:00.0,529.7140208333326,529.7140208333326,529.7140208333326,529.7140208333326
2020-01-03T08:00:00.0,554.7291666666646,554.7291666666646,554.7291666666646,554.7291666666646
2020-01-03T09:00:00.0,607.337362499999,607.337362499999,607.337362499999,607.337362499999
2020-01-03T10:00:00.0,690.3145999999966,690.3145999999966,690.3145999999966,690.3145999999966
