DateTime,values,bus2,bus3,bus4
2020-01-01T00:08:24.0,674.97,674.97,674.97,674.97
2020-01-01T00:08:30.0,674.375,674.375,674.375,674.375
2020-01-01T00:08:36.0,674.4525,674.4525,674.4525,674.4525
2020-01-01T00:08:42.0,673.6725,673.6725,673.6725,673.6725
2020-01-01T00:08:48.0,676.5775,676.5775,676.5775,676.5775
2020-01-01T00:08:54.0,676.0775,676.0775,676.0775,676.0775
2020-01-01T00:09:00.0,675.985,675.985,675.985,675.985
2020-01-01T00:09:06.0,675.5625,675.5625,675.5625,675.5625
2020-01-01T00:09:12.0,674.8275,674.8275,674.8275,674.8275
2020-01-01T00:09:18.0,673.8275,673.8275,673.8275,673.8275
2020-01-01T00:09:24.0,673.64,673.64,673.64,673.64
2020-01-01T00:09:30.0,674.0,674.0,674.0,674.0
2020-01-01T00:09:36.0,673.595,673.595,673.595,673.595
2020-01-01T00:09:42.0,674.265,674.265,674.265,674.265
2020-01-01T00:09:48.0,673.9525,673.9525,673.9525,673.9525
2020-01-01T00:09:54.0,672.9075,672.9075,672.9075,672.9075
2020-01-01T00:10:00.0,672.4225,672.4225,672.4225,672.4225
2020-01-01T00:10:06.0,673.9225,673.9225,673.9225,673.9225
2020-01-01T00:10:12.0,673.75,673.75,673.75,673.75
2020-01-01T00:10:18.0,674.7025,674.7025,674.7025,674.7025
2020-01-01T00:10:24.0,674.235,674.235,674.235,674.235
2020-01-01T00:10:30.0,673.86,673.86,673.86,673.86
2020-01-01T00:10:36.0,674.2825,674.2825,674.2825,674.2825
2020-01-01T00:10:42.0,674.64,674.64,674.64,674.64
2020-01-01T00:10:48.0,676.0475,676.0475,676.0475,676.0475
2020-01-01T00:10:54.0,676.0475,676.0475,676.0475,676.0475
2020-01-01T00:11:00.0,676.375,676.375,676.375,676.375
2020-01-01T00:11:06.0,676.7975,676.7975,676.7975,676.7975
2020-01-01T00:11:12.0,673.8125,673.8125,673.8125,673.8125
2020-01-01T00:11:18.0,675.1725,675.1725,675.1725,675.1725
2020-01-01T00:11:24.0,675.015,675.015,675.015,675.015
2020-01-01T00:11:30.0,676.86,676.86,676.86,676.86
2020-01-01T00:11:36.0,674.765,674.765,674.765,674.765
2020-01-01T00:11:42.0,673.4375,673.4375,673.4375,673.4375
2020-01-01T00:11:48.0,675.1725,675.1725,675.1725,675.1725
2020-01-01T00:11:54.0,677.47,677.47,677.47,677.47
2020-01-01T00:12:00.0,674.515,674.515,674.515,674.515
2020-01-01T00:12:06.0,675.3275,675.3275,675.3275,675.3275
